rank,dim,corr,abs_corr
1,1116,0.79071157,0.79071157
2,1112,0.78972307,0.78972307
3,1108,0.78612678,0.78612678
4,1106,0.78208133,0.78208133
5,1105,0.78058667,0.78058667
6,1107,0.77877222,0.77877222
7,1212,0.76449287,0.76449287
8,1208,0.75991253,0.75991253
9,1204,0.75946076,0.75946076
10,75,0.74413666,0.74413666
